PARCELID,zonecode
M240160007400,UR
M240160007300,UR
M240160007200,UR
M240160007100,UR
M240160007000,UR
M240160006900,UR
M240160006800,UR
M240160006700,UR
M240160006600,UR
M240160006500,UR
M240160006400,UR
M240160006300,UR
M240160006200,UR
M240160010800,UR
M240160010600,UR
M240160010700,UR
M240160010800,UR
M240160010900,UR
M240160011000,SU
M240160012500,SR
M240160012400,SR
M240160012300,SR
M240160012200,SR
M240160012100,SR
M240160012000,SR
M240160011900,SR
M240160011800,SR
M240160011700,SR
M240170002800,UR
M240150003001,SR
M240150003000,SR
M240170000100,UR
M240170000200,UR
M240170000300,UR
M240170000400,UR
M240170000500,UR
M240170000600,UR
M240170009200,UR
M240170009100,UR
M240170009000,UR
M240170008900,UR
M240170008800,UR
M240170008700,UR
M240170008600,UR
M240170008500,UR
M240170008400,UR
M240170008300,UR
M240170008200,UR
M240170008100,UR
M240170008000,UR
M240160000100,UR
M240160000200,UR
M240160000300,UR
M240160000400,UR
M240160000500,UR
M240160000600,UR
M240160000700,UR
M240160000800,UR
M240160000900,UR
M240160001000,UR
M240160000100,UR
M240160003300,UR
M240160003200,UR
M240160003100,UR
M240160003000,UR
M240160002900,UR
M240160002800,UR
M240160002700,UR
M240160002600,UR
M240160002500,UR
M240160002400,UR
M240160002300,UR
M240160004700,UR
M240160004600,UR
M240160004500,UR
M240160004400,UR
M240160004300,UR
M240160004200,UR
M240160004100,UR
M240160004000,UR
M240160003900,UR
M240160003800,UR
M240160003700,UR
M240160003600,UR
M240160003500,UR
M240160003400,UR
M240160008400,UR
M240160008300,UR
M240160008200,UR
M240160008100,UR
M240160008000,UR
M240160007900,UR
M240160007800,UR
M240160007700,UR
M240170000700,UR
M240170000800,UR
M240150004600,SR
M240150005001,SR
M240260000100,SR
M240150005000,SR
M240130011500,I
M240130011600,I
M240130011100,SR
M240130011200,SR
M240130011401,I
M240130011400,I
M240140000100,SR
M240140000200,SR
M240140000300,SR
M240140000400,SR
M240140000500,SR
M240140001800,SR
M240140001900,SR
M240140001702,SU
M240110012900,UR
M240110013000,UR
M240110013100,UR
M240130010900,SR
M240130011000,SR
M240150004300,M*
M240130011502,M*
M240130008000,SR
M240130008200,SR
M240130009100,SR
M240130008800,SR
M240130008900,SR
M240130009000,SR
M240130008700,SR
M240130008300,SR
M240130008400,SR
M240130008500,SR
M240130008600,SR
M240130012100,SR
M240130012101,SR
M240130012000,SR
M240130013100,SR
M240130012200,SR
M240130012300,SR
M240130012400,SR
M240130012600,SR
M240130012500,SR
M240130012700,SR
M240130012501,SR
M240130012800,SR
M240130012900,SR
M240320000902,I
M240320000904,I
M240140001802,SU
M240150005200,SR
M240130012801,SR
M240260000200,SR
M240320003901,SR
M240320005400,SR
M240320005300,SR
M240260000400,SR
M240320003800,SR
M240320003800,SR
M240320003300,SR
M240320000200,I
M240320000300,I
M240320003700,SR
M240320003600,SR
M240320004309,SR
M240320004308,SR
M240320004307,SR
M240320004306,SR
M240320004305,SR
M240320004304,SR
M240320004303,SR
M240320004302,SR
M240320004301,SR
M240320004300,SR
M240320005000,SR
M240320004900,SR
