PARCELID,zonecode
M240230009000,UR
M240230009100,UR
M240230009200,UR
M240230009300,UR
M240230009400,UR
M240230015800,UR
M240230015700,UR
M240230015600,UR
M240230023100,UR
M240230023200,UR
M240230023300,UR
M240230023400,UR
M240230023000,UR
M240230022900,UR
M240230022800,UR
M240230022700,UR
M240230023500,UR
M240230023600,UR
M240230025001,UR
M240230025002,UR
M240230023700,UR
M240230030200,UR
M240230030100,UR
M240250000400,SR
M240250000400,SR
M240250004600,SR
M240250004500,SR
M240250004700,SR
M240250004800,SR
M240250004900,SR
M240250005000,SR
M240250004400,SR
M240250004300,SR
M240250004200,SR
M240250004100,SR
M240250004000,SR
M240250003900,SR
M240250003800,SR
M240250003700,SR
M240250003600,SR
M240250010601,SR
M240250003900,SR
M240250000300,SR
M240250000100,SR
M240250009400,SR
M240240002300,SR
M240250009500,SR
M240250009600,SR
M240240002200,SR
M240250009400,SR
M240240002300,SR
M240250009500,SR
M240250009600,SR
M240250005000,SR
M240250004900,SR
M240250004800,SR
M240250004700,SR
M240250004600,SR
M240250004500,SR
M240250004400,SR
M240250004300,SR
M240250004200,SR
M240250004100,SR
M240250004000,SR
M240250003800,SR
M240250003700,SR
M240250003600,SR
M240250003601,SR
M240250010300,SR
M240250010200,SR
M240250010100,SR
M240250010000,SR
M240250009900,SR
M240250009800,SR
M240250009700,SR
M240250009700,SR
M240250009800,SR
M240250009900,SR
M240250010000,SR
M240250010100,SR
M240250010200,SR
M240250010300,SR
M240250010600,SR
M240250010600,SR
M240250010400,SR
M240250010400,SR
M240250010500,SR
M240250010500,SR
M240230006001,UR
M240020004101,SR
M240120014100,DE
M240120014500,DE
M240120014200,DE
M240120013700,DE
M240120014000,DE
M240120013900,DE
M240120013000,DE
M240120013100,DE
M240120013200,DE
M240120013201,DE
M240120013300,DE
M240120013500,DE
M240210000102,CB
M240210003001,I
M240220009900,DE
M240220009600,DE
M240220009700,DE
M240220012500,I
M240210000101,CB
M240210000100,CB
M240210001300,CB
M240120014300,DE
M240120014400,DE
M240120013800,DE
M240050003300,UR
M240020000100,SR
M240060004400,UR
M240060001600,UR
M240060001601,UR
M240060001500,UR
M240060001200,UR
M240060004500,UR
M240060004700,UR
M240060004600,UR
M240060001400,UR
M240050003600,UR
M240050003500,UR
M240050003400,UR
M240050003100,UR
M240020006800,SR
M240020006900,SR
M240020106901,SR
M240020106902,SR
M240020106903,SR
M240020106904,SR
M240020106905,SR
M240020007000,SR
M240020007400,SR
M240020007100,SR
M240020006700,SR
M240020006600,SR
M240020005603,SR
M240020006500,SR
M240020008900,SR
M240020008800,SR
M240020008700,SR
M240020008600,SR
M240020008500,SU
M240020007200,SR
M240020007300,SR
M240020007401,SR
M240020007500,SR
M240020007600,SR
M240020007700,SR
M240020008200,SR
M240020010900,SU
M240020009700,SR
M240020009600,SR
M240020009500,SR
M240020009400,SR
M240020009300,SR
M240020009200,SR
M240020009100,SR
M240020009001,SR
M240020009000,SR
M240020011000,SU
M240330013300,RC
M240240003300,SR
M240240003300,SR
M240270000900,CB
M240200003101,UR
M240240005101,SR
M240250017001,SR
M240020001602,SR
M240330002800,CB
M240300006501,CB
M240290005601,CB
M240230026001,UR
M240230025601,UR
M240230014901,UR
M240200000201,UR
M240190001102,UR
M240110020001,UR
M240080001002,UR
M240050002901,UR
M240040200301,SR
M240020012103,SR
M240040201402,SR
M240020012102,SR
M240320100801,SR
M240320101900,SR
M240320101800,SR
M240320101700,SR
M240320101600,SR
M240320101500,SR
M240320101300,SR
M240320101400,SR
M240320100800,SR
M240320100700,SR
M240320100900,SR
M240320101000,SR
M240320101100,SR
M240320101200,SR
M240320100100,SR
M240320100200,SR
M240320102600,SR
M240320100300,SR
M240320102700,SR
M240320100400,SR
M240320102800,SR
M240320100500,SR
M240320100600,SR
M240320102500,SR
M240320102400,SR
M240320102300,SR
M240320102200,SR
M240320102100,SR
M240320102000,SR
M240020005605,SU
M240040005101,SR
M240020001801,SU
M240210009401,UR
M240010100401,SU
M240330009301,SR
M240330009403,SR
M240330009402,SR
M240070101300,SR
M240070101400,SR
M240070101500,SR
M240070101600,SR
M240070101700,SR
M240070102100,SR
M240070102200,SR
M240070102200,SR
M240070100300,SR
M240070100200,SR
M240070100100,SR
M240290012601,CB
M240090007301,UR
M240250012301,SR
M240290012400,CB
M240310033500,I
M240040001800,SR
M240040006100,SR
M240040005900,SR
M240270000900,SR
M240250005100,SR
M240250005200,SR
M240250005300,SR
M240250005400,SR
M240250005500,SR
M240250005600,SR
M240250005700,SR
M240250005800,SR
M240250005900,SR
M240250006000,SR
M240250006100,SR
M240250006200,SR
M240250006300,SR
M240250006400,SR
M240250006500,SR
M240310033000,SU
M240310034000,I
M240310033600,I
M240310033700,I
M240230000300,I
M240290010500,CB
M240290012300,CB
M240290012500,CB
M240280000201,M*
M240280000300,UR
M240280004400,UR
M240280004500,UR
M240280006400,UR
M240280006500,UR
M240280007700,UR
M240280007800,UR
M240280009600,UR
M240280009700,UR
M240280012900,UR
M240280013100,AR
M240280013200,AR
M240020002000,SU
M240020006300,SU
M240040006400,SR
M240020012300,SR
M240020012300,SR
M240320001000,SU
M240230000200,I
M240300024900,UR
M240270008400,SU
M240270008300,SU
M240270006600,SR
M240280014300,SR
M240270007000,SR
M240280014500,SR
M240290012700,CB
M240290012600,CB
M240280003400,UR
M240330003300,RC
M240320000800,SR
M240320001300,SU
M240320002800,SR
M240320002700,SR
M240320001900,SR
M240320001800,SR
M240320002600,SR
M240320002500,SR
M240320002400,SR
M240320002300,SU
M240320001700,SR
M240320001600,SR
M240320001500,SR
M240320001400,SU
M240330003100,RC
M240320000600,RC
M240320001000,SU
M240330012201,SR
M240330012200,SR
M240330011201,SR
M240330011302,SR
M240330011401,SR
M240330011200,SR
M240330010800,SR
M240330010900,SR
M240330011301,SR
M240330010901,SR
M240330011000,SR
M240330011100,SR
M240330011500,SR
M240330011600,SR
M240330011700,SR
M240330011800,SR
M240330011900,SR
M240330012100,SR
M240330012000,SR
M240310024701,SR
M240310029600,I
M240310024901,SR
M240310024900,SR
M240310024800,SR
M240310032400,I
M240310025000,SR
M240310029700,SR
M240310032801,SU
M240310032600,SU
M240310032800,SU
M240310032500,I
M240310032300,I
M240300023900,UR
M240300024401,CB
M240020000400,SR
M240020000500,SR
M240020000600,SR
M240020000900,SR
M240020000700,SR
M240020000800,SR
M240020002600,SR
M240020002500,SR
M240020002400,SR
M240210008900,UR
M240210008800,UR
M240210008700,UR
M240210008600,UR
M240210008500,UR
M240210008400,UR
M240210008300,UR
M240210008200,UR
M240210008100,UR
M240210008000,UR
M240210007500,UR
M240210007800,UR
M240210007900,UR
M240210007701,UR
M240210007700,UR
M240210007600,UR
M240210007400,UR
M240210007300,UR
M240210007200,UR
M240210007100,UR
M240210007000,UR
M240210006900,UR
M240210006800,UR
M240210006700,UR
M240210006600,UR
M240210005900,UR
M240210005800,UR
M240210006000,UR
M240210006100,UR
M240210006200,UR
M240210006300,UR
M240210006400,UR
M240210006500,UR
M240210005700,UR
M240210005600,UR
M240210005500,UR
M240210005400,UR
M240210005300,UR
M240210005200,UR
M240210005100,UR
M240200001200,UR
M240200001300,UR
M240200001400,UR
M240200001500,UR
M240200001600,UR
M240200001700,UR
M240200001900,UR
M240200002000,UR
M240200002100,UR
M240200001800,UR
M240200002200,UR
M240200002300,UR
M240200002400,UR
M240200002500,UR
M240200002700,UR
M240200002900,UR
M240200002600,UR
M240200003000,UR
M240200003100,UR
M240200003200,UR
M240200003300,UR
M240200003400,UR
M240200003500,UR
M240200003600,UR
M240200003700,UR
M240200003800,UR
M240200004000,UR
M240200003900,UR
M240200004200,UR
M240200004100,UR
M240200009500,UR
M240210005000,AR
M240200004300,UR
M240200004400,UR
M240200004500,UR
M240200004600,UR
M240200004700,UR
M240200004800,UR
M240200004901,UR
M240200004900,UR
M240200010100,UR
M240200010200,UR
M240200010300,UR
M240200010400,UR
M240200009600,UR
M240200009700,UR
M240200009800,UR
M240200009900,UR
M240200010000,UR
M240310033000,SR
M240310033100,SR
M240310032900,SR
M240310034000,I
M240100001400,SU
M240100001300,SR
M240100000700,SR
M240100000600,SR
M240100000100,SR
M240100000200,SR
M240100000300,SR
M240100000400,SR
M240100000500,SR
M240100000900,SR
M240100001000,SR
M240100001200,SR
M240100001301,SU
M240100001500,SU
M240100001600,SU
M240100002200,SR
M240100002000,SR
M240100001900,SR
M240040000800,SR
M240040000700,SR
M240040000500,SR
M240040000400,SR
M240040000300,SR
M240040000200,SR
M240040000201,SR
M240040000100,SR
M240040001600,SR
M240040001700,SR
M240040001800,SR
M240270000701,UR
M240330008900,SR
M240330008800,SR
M240330008700,SR
M240330008601,SR
M240330008600,SR
M240330008400,SR
M240330008500,SR
M240330008300,SR
M240330009401,SR
M240330009400,SR
M240330008100,SR
M240330008200,SR
M240330012300,SR
M240330012700,RC
M240330012400,SR
M240330012800,SR
M240330012801,SR
M240330013001,RC
M240330013400,SU
M240330013200,RC
M240330013500,SU
M240330013201,SU
M240330013600,SU
M240330012900,SR
M240330012901,SR
M240330012902,SR
M240010100400,SU
M240010100300,SU
M240010100200,SR
M240330009100,SR
M240330009201,SR
M240330009200,SR
M240330009300,SR
M240330009000,SR
M240100002400,SU
M240100001700,SU
M240100002300,SU
M240020003200,SR
M240020003100,SR
M240020003300,SU
M240020003400,SU
M240020003900,SR
M240020004100,SR
M240020004000,SR
M240020004200,SR
M240020004300,SR
M240020004400,SR
M240020010700,SR
M240020012101,SR
M240020011700,SR
M240020011500,SR
M240020011600,SR
M240020011200,SU
M240020011400,SU
M240020011900,SU
M240020011300,SU
M240020011800,SU
M240020011200,SU
M240040006400,SR
M240020001600,SU
M240020005900,SU
M240020005600,SU
M240020003600,SR
M240020005300,SR
M240020012300,SR
M240040201300,SR
M240020010600,CB
M240020010500,CB
M240020001400,AR
M240020001401,AR
M240020010400,SU
M240040101400,SR
M240040101300,SR
M240040101200,SR
M240040001900,SR
M240020001300,SR
M240020001000,SR
M240020001200,SR
M240020001100,SR
M240020001500,SR
M240020001900,SU
M240020001700,SU
M240020005800,SU
M240020002100,SR
M240020002200,SR
M240020002700,SR
M240020002000,SU
M240020002300,SU
M240020002701,SU
M240020002800,SU
M240020002801,SU
M240020001800,SU
M240020005601,SU
M240020006200,SU
M240020006300,SU
M240020005604,SR
M240020005701,SR
M240020006000,SR
M240020006400,SR
M240020004800,SR
M240020004900,SR
M240020004700,SR
M240020005000,SR
M240020005500,SR
M240020006100,AR
M240020005700,SU
M240020005200,SR
M240020005100,SR
M240020005602,SR
M240020008400,SU
M240020007800,SR
M240020008100,SR
M240020008000,SR
M240020007801,SR
M240020008300,SR
M240020007900,SR
M240020010800,SU
M240020010300,SR
M240020010201,SR
M240020010202,SR
M240020010100,SR
M240020010200,SR
M240020010000,SR
M240020009900,SR
M240020009800,SR
M240020011100,SU
M240310024700,SR
M240080011500,UR
M240080011400,UR
M240080011300,UR
M240050008900,UR
M240240011600,UR
M240250002900,SR
M240040101100,SR
M240040101000,SR
M240040100900,SR
M240020012003,SR
M240020012004,SR
M240020012002,SR
M240040101500,SR
M240040101600,SR
M240040101700,SR
M240040101900,SR
M240040101901,SR
M240040101800,SR
M240040102000,SR
M240040006100,SR
M240040006200,SR
M240040006400,SR
M240040100100,SR
M240040100700,SR
M240040100800,SR
M240040100600,SR
M240040100500,SR
M240040100400,SR
M240040100300,SR
M240040100200,SR
M240040005900,SR
M240040005900,SR
M240040005900,SR
M240040005800,SR
M240040005700,SR
M240040005500,SR
M240040005400,SR
M240040005100,SR
M240040004900,SR
M240040004800,SR
M240040004600,SR
M240040004500,SR
M240040005000,SR
M240040004700,SR
M240040005300,SR
M240040005200,SR
M240040004400,SR
M240040007700,SR
M240040007800,SR
M240040006300,SR
M240040006403,SR
M240040006401,SR
M240040006500,SR
M240040006600,SR
M240040006700,SR
M240040007000,SR
M240040002300,SR
M240040007200,SR
M240040007600,SR
M240040007300,SR
M240040007400,SR
M240040007500,SR
M240020212106,SR
M240020212105,SR
M240020212107,SR
M240020212108,SR
M240020212104,SR
M240020212103,SR
M240020212102,SR
M240020212101,SR
M240040200500,SR
M240040200400,SR
M240040200300,SR
M240040200200,SR
M240040200100,SR
M240040200600,SR
M240040200700,SR
M240040200800,SR
M240040200900,SR
M240040201000,SR
M240040201101,SR
M240040201100,SR
M240040201201,SR
M240040201200,SR
M240040201401,SR
M240040007900,SR
M240040004300,SR
M240040002100,SR
M240040004100,SR
M240040004200,SR
M240040004200,SR
M240040003200,SR
M240040004100,SR
M240040004000,SR
M240040003900,SR
M240040003800,SR
M240040003700,SR
M240040003601,SR
M240040003600,SR
M240040003500,SR
M240040003400,SR
M240040003000,SR
M240040002900,SR
M240040003100,SR
M240040002400,SR
M240040002500,SR
M240040002600,SR
M240040002700,SR
M240040002800,SR
M240040002101,SR
M240040002200,SR
M240040007100,SR
M240040002000,SR
M240040002100,SR
M240040008000,SR
M240040008100,SR
M240040008200,SR
M240040008300,SR
M240040008400,SR
M240040008500,SR
M240040008600,SR
M240040008700,SR
M240040008800,SR
M240040009100,SR
M240040008900,SR
M240040009000,SR
M240040009200,SR
M240040009300,SR
M240040009400,SR
M240040009500,SR
M240040009600,SR
M240040009701,SR
M240040009702,SR
M240040009700,SR
M240040009800,SR
M240040201700,SR
M240040201600,SR
M240040201500,SR
M240040201400,SR
M240040009900,SR
M240250001400,SR
M240250000800,SR
M240250000700,SR
M240250000600,SR
M240250000500,SR
M240250000200,SR
M240250000201,SR
M240290009101,CB
M240290009200,CB
M240290009300,CB
M240290009100,CB
M240290011400,CB
M240290011300,CB
M240290009400,CB
M240290009500,CB
M240290009600,CB
M240290009601,CB
M240290009700,CB
M240290009800,CB
M240290009900,CB
M240290010000,CB
M240290010100,CB
M240290010200,CB
M240290010300,CB
M240290010400,CB
M240290011200,CB
M240290011201,CB
M240290011100,CB
M240290011000,CB
M240290010900,CB
M240290010800,CB
M240290010700,CB
M240290010600,CB
M240290010500,CB
M240290009000,CB
M240290011500,CB
M240290011600,CB
M240290011700,CB
M240290011800,CB
M240290011900,CB
M240290012000,CB
M240290012200,CB
M240290012101,CB
M240290012401,CB
M240290012402,CB
M240290012100,CB
M240290012300,CB
M240290012400,CB
M240290012500,CB
M240280001000,I
M240280000200,M*
M240280000100,I
M240280000200,M*
M240280002500,I
M240280002400,I
M240280002300,I
M240280002200,I
M240280002100,I
M240280002000,I
M240280001900,I
M240280001800,I
M240280001700,I
M240280001600,I
M240280001500,I
M240280001400,I
M240280001300,I
M240280001000,UR
M240280000900,UR
M240280000800,UR
M240280000700,UR
M240280000600,UR
M240280000500,UR
M240280000400,UR
M240280000300,UR
M240280008200,UR
M240280007400,UR
M240280007200,UR
M240280007300,UR
M240280007400,UR
M240280007200,UR
M240280008300,UR
M240280008200,UR
M240280014200,UR
M240280014400,UR
M240280008400,UR
M240280008500,UR
M240280011600,UR
M240280011500,UR
M240280011400,UR
M240280011300,UR
M240280011200,UR
M240270000900,CB
M240280013800,AR
M240270000401,AR
M240180007100,UR
M240280011700,UR
M240280011800,UR
M240280011900,UR
M240280012000,UR
M240280012100,UR
M240280014100,AR
M240280014000,AR
M240280013900,AR
M240280006901,UR
M240280007500,UR
M240280007600,UR
M240280007700,UR
M240280008000,UR
M240280007900,UR
M240280007800,UR
M240280010600,UR
M240280008600,UR
M240280008700,UR
M240280008800,UR
M240280008900,UR
M240280009000,UR
M240280009100,UR
M240280009200,UR
M240280009300,UR
M240280009400,UR
M240280009500,UR
M240280009600,UR
M240280011100,UR
M240280011000,UR
M240280010900,UR
M240280010800,UR
M240280010700,UR
M240280010600,UR
M240280010500,UR
M240280010400,UR
M240280010300,UR
M240280010200,UR
M240280010100,UR
M240280010000,UR
M240280009900,UR
M240280009800,UR
M240280009700,UR
M240280013100,AR
M240280012800,UR
M240280012200,UR
M240280012300,UR
M240280012400,UR
M240280012500,UR
M240280012600,UR
M240280012700,UR
M240280012800,UR
M240280012900,UR
M240280013800,AR
M240280013600,AR
M240280013500,AR
M240280013400,AR
M240280013300,AR
M240280013200,AR
M240300004300,SR
M240300004302,SR
M240300004301,SR
M240300004400,SR
M240300004500,SR
M240300004600,UR
M240300004700,UR
M240300004800,UR
M240300004900,UR
M240300005000,UR
M240300005100,UR
M240300005200,UR
M240300006600,CB
M240300006500,CB
M240300006400,CB
M240300006300,CB
M240300006200,CB
M240300006100,CB
M240300006000,CB
M240300005900,CB
M240300005800,CB
M240300005700,CB
M240300005600,CB
M240310033800,I
M240300010001,I
M240310033900,I
M240300008400,UR
M240300022700,SU
M240300018500,SU
M240300011900,CB
M240300008900,I
M240310033600,I
M240310033500,I
M240310033700,I
M240310033400,I
M240310033300,I
M240310033200,I
M240240006700,SR
M240240006701,SR
M240240006800,SR
M240240006900,SR
M240240011501,SR
M240240011502,SR
M240240011500,SR
M240240011400,SR
M240240011300,SR
M240240011200,SR
M240240007000,SR
M240240011100,SR
M240240011000,SR
M240240010900,SR
M240240007200,SR
M240240007500,SR
M240240007100,SR
M240240007400,SR
M240240007300,SR
M240240010800,SR
M240240010700,SR
M240240010600,SR
M240240010500,SR
M240240010300,SR
M240240010400,SR
M240230000300,I
M240230000400,I
M240230000500,I
M240230000600,I
M240230000700,I
M240230000800,I
M240230000900,I
M240230001000,I
M240230008300,I
M240230008200,I
M240230009500,UR
M240230009600,UR
M240230015500,UR
M240230015400,UR
M240230015300,UR
M240230015900,UR
M240230016000,UR
M240230016100,UR
M240230022600,UR
M240230023800,UR
M240230023900,UR
M240230024000,UR
M240230030000,UR
M240230029900,UR
M240230029800,UR
M240230001100,UR
M240230001200,UR
M240230001300,UR
M240230001400,UR
M240230008100,UR
M240230008000,UR
M240230007900,UR
M240230001500,UR
M240230007700,UR
M240230007800,UR
M240230009700,UR
M240230009800,UR
M240230015200,UR
M240230015100,UR
M240230009900,UR
M240230010000,UR
M240230015000,UR
M240230016200,UR
M240230016300,UR
M240230022500,UR
M240230022400,UR
M240230016500,UR
M240230016400,UR
M240230016600,UR
M240230022200,UR
M240230022300,UR
M240230029600,UR
M240230024100,UR
M240230024100,UR
M240230029700,UR
M240230029600,UR
M240230024200,UR
M240230029500,CB
M240230029400,UR
M240230029300,UR
M240230029200,UR
M240230001600,UR
M240230001700,UR
M240230007600,UR
M240230007500,UR
M240230007400,UR
M240230001900,UR
M240230001800,UR
M240230007000,UR
M240230007300,UR
M240230007100,UR
M240230007200,UR
M240230010200,UR
M240230010100,UR
M240230014900,UR
M240230010300,UR
M240230010400,UR
M240230014700,UR
M240230014800,UR
M240230016700,UR
M240230016800,UR
M240230022100,UR
M240230022000,UR
M240230016900,UR
M240230017000,UR
M240230021700,UR
M240230021800,UR
M240230021900,UR
M240230024400,UR
M240230024500,UR
M240230029100,UR
M240230024600,UR
M240230002000,UR
M240230002100,UR
M240230006900,UR
M240230006800,UR
M240230002400,UR
M240230002300,UR
M240230002500,UR
M240230006400,UR
M240230006600,UR
M240230006700,UR
M240230010600,UR
M240230010501,UR
M240230010500,UR
M240230014600,UR
M240230010800,UR
M240230010900,UR
M240230014500,UR
M240230014400,UR
M240230017200,UR
M240230017300,UR
M240230017100,UR
M240230021600,UR
M240230021400,UR
M240230021500,UR
M240230017400,UR
M240230017500,UR
M240230021300,UR
M240230021200,UR
M240230025000,UR
M240230024800,UR
M240230025200,UR
M240230025100,UR
M240230025300,UR
M240240007600,SR
M240240007900,SR
M240240007800,SR
M240240007700,SR
M240240010100,SR
M240240009800,SR
M240240009900,SR
M240240009700,SR
M240240010200,SR
M240240010000,SR
M240240008000,SR
M240240008100,SR
M240240008200,SR
M240240008300,SR
M240240008400,SR
M240240008500,SR
M240240008600,SR
M240240008800,SR
M240240009500,SR
M240240009400,SR
M240240009600,SR
M240240009300,SR
M240240009200,SR
M240240009100,SR
M240240009000,SR
M240240008900,SR
M240230002700,UR
M240230002600,UR
M240230003000,UR
M240230002800,UR
M240230002900,UR
M240230006100,UR
M240230006000,UR
M240230003100,UR
M240230003200,UR
M240230003300,UR
M240230005800,UR
M240230005900,UR
M240230011100,UR
M240230011000,UR
M240230014300,UR
M240230014200,UR
M240230011200,UR
M240230011300,UR
M240230014100,UR
M240230014000,UR
M240230017700,UR
M240230017600,UR
M240230021100,UR
M240230021000,UR
M240230017800,UR
M240230017900,UR
M240230020800,UR
M240230020900,UR
M240230027800,UR
M240230003500,UR
M240230003400,UR
M240230005700,UR
M240230005600,UR
M240230003700,UR
M240230003600,UR
M240230005400,UR
M240230005500,UR
M240230005501,UR
M240230011600,UR
M240230011500,UR
M240230011400,UR
M240230013900,UR
M240230013800,UR
M240230011700,UR
M240230011800,UR
M240230013700,UR
M240230013600,UR
M240230013500,UR
M240230018000,UR
M240230018100,UR
M240230018200,UR
M240230018300,UR
M240230020700,UR
M240230020600,UR
M240230020500,UR
M240230020400,UR
M240230025600,UR
M240230025800,UR
M240230027700,UR
M240230027600,UR
M240230025900,UR
M240230027500,UR
M240230026000,UR
M240230027503,UR
M240230027404,UR
M240230026100,UR
M240230027502,UR
M240230026200,UR
M240230027402,UR
M240230027401,UR
M240230003900,UR
M240230003800,UR
M240230005300,UR
M240230005100,UR
M240230005200,UR
M240230004000,UR
M240230004100,UR
M240230005000,UR
M240230004900,UR
M240230012000,UR
M240230011900,UR
M240230013400,UR
M240230013300,UR
M240230012100,UR
M240230012200,UR
M240230013200,UR
M240230013100,UR
M240230004300,UR
M240230004200,UR
M240230004800,UR
M240230004700,UR
M240230004400,UR
M240230004500,UR
M240230004600,UR
M240230012300,UR
M240230013000,UR
M240230012900,UR
M240230012400,UR
M240230012500,UR
M240230018400,UR
M240230018500,UR
M240230018600,UR
M240230018700,UR
M240230018800,UR
M240230018900,UR
M240230019000,UR
M240230019100,UR
M240230020300,UR
M240230020200,UR
M240230020100,UR
M240230020000,UR
M240230019900,UR
M240230019800,UR
M240230019700,UR
M240230026401,DE
M240230026500,DE
M240230026400,DE
M240230026600,DE
M240230026800,UR
M240230026300,DE
M240230027400,DE
M240230027300,DE
M240230027200,DE
M240230027100,DE
M240230027000,DE
M240230026900,DE
M240220000800,CB
M240220000900,CB
M240220000700,CB
M240220000600,CB
M240220000500,CB
M240220000400,CB
M240220000300,CB
M240220000200,CB
M240220000100,CB
M240220001000,CB
M240220001100,CB
M240220001200,CB
M240220001300,CB
M240220001400,CB
M240220001500,CB
M240220001600,CB
M240220001700,CB
M240220003200,CB
M240220004100,CB
M240220004200,CB
M240220004300,CB
M240220004400,CB
M240220004000,CB
M240220003900,CB
M240220003800,CB
M240220003700,CB
M240220003600,CB
M240220003400,CB
M240220003500,CB
M240220003300,CB
M240220003200,CB
M240220004500,CB
M240220004600,CB
M240210010900,UR
M240210010800,UR
M240210010700,UR
M240210010600,UR
M240210010500,UR
M240210010400,UR
M240210010300,UR
M240210010200,UR
M240210010100,UR
M240210010000,UR
M240210009900,UR
M240210009700,UR
M240210009000,UR
M240210009100,UR
M240210009200,UR
M240210009300,UR
M240210009400,UR
M240210009500,UR
M240210009600,UR
M240210009800,UR
M240200000500,UR
M240200000400,UR
M240200000300,UR
M240200000200,UR
M240200000100,UR
M240200000700,UR
M240200000600,UR
M240200000800,UR
M240200000900,UR
M240200001000,UR
M240200001101,UR
M240200001102,UR
M240200001100,UR
M240200016500,UR
M240200016400,UR
M240200016300,UR
M240200016200,UR
M240200016100,UR
M240200016000,UR
M240200015900,UR
M240200015800,UR
M240200015700,UR
M240200015600,UR
M240200015500,UR
M240190000100,UR
M240190000200,UR
M240190000300,UR
M240190000400,UR
M240190000500,UR
M240190000600,UR
M240190000700,UR
M240190000800,UR
M240190008400,AR
M240190008300,UR
M240190008200,UR
M240190008100,UR
M240190008000,UR
M240190008001,UR
M240180007600,UR
M240180000100,UR
M240180000200,UR
M240180000300,UR
M240180000301,UR
M240180007900,AR
M240180007800,AR
M240180007700,UR
M240180007600,UR
M240180007500,UR
M240180007400,UR
M240180007300,UR
M240180007201,UR
M240180007200,UR
M240200015400,UR
M240200015300,UR
M240200015200,UR
M240200015100,UR
M240200015000,UR
M240200014900,UR
M240200014800,UR
M240200014700,UR
M240200014600,UR
M240200014500,UR
M240190000900,UR
M240190001000,UR
M240190001101,UR
M240190001100,UR
M240190001200,UR
M240190001300,UR
M240190001400,UR
M240190007900,UR
M240190007800,UR
M240190007700,UR
M240190007600,UR
M240190007500,UR
M240190007400,UR
M240190007300,UR
M240190007200,UR
M240190007100,UR
M240190007000,UR
M240190006900,UR
M240190006800,UR
M240190006700,UR
M240190006600,UR
M240190006500,UR
M240180000400,UR
M240180000500,UR
M240180000600,UR
M240180000700,UR
M240180000800,UR
M240180000900,UR
M240180001000,UR
M240180001100,UR
M240180001200,UR
M240180001300,UR
M240180007000,UR
M240180006900,UR
M240180006800,UR
M240180006700,UR
M240180006600,UR
M240180006500,UR
M240180006400,UR
M240180006300,UR
M240180006200,UR
M240180006100,UR
M240180006000,UR
M240220006400,CB
M240220006600,CB
M240220006700,CB
M240220006800,CB
M240220006900,CB
M240220007000,CB
M240220007100,CB
M240220007200,DE
M240220007300,DE
M240220007400,DE
M240220008200,CB
M240220008100,CB
M240220007900,CB
M240220008000,CB
M240220007800,CB
M240220007700,CB
M240220007600,DE
M240220007500,DE
M240220010200,DE
M240220010300,DE
M240220010400,DE
M240220010500,DE
M240220010100,DE
M240220009800,DE
M240220010600,DE
M240220010700,DE
M240220010800,DE
M240220010900,DE
M240220011000,DE
M240220011100,DE
M240220011200,DE
M240220011300,DE
M240220011400,DE
M240220011500,DE
M240220011600,DE
M240220011700,DE
M240220008400,CB
M240220008500,CB
M240220008600,CB
M240220008700,CB
M240220008800,CB
M240220008900,CB
M240220009000,CB
M240220009100,CB
M240220009200,CB
M240220009300,CB
M240220008300,I
M240220009400,DE
M240220012600,I
M240220009500,DE
M240210000500,CB
M240210000400,CB
M240210000300,CB
M240210000200,CB
M240200013901,UR
M240200010600,UR
M240200010700,UR
M240200010800,UR
M240200014400,UR
M240200014300,UR
M240200014200,UR
M240200014100,UR
M240200014000,UR
M240200013901,UR
M240200013900,UR
M240200013800,UR
M240200013700,UR
M240200013600,UR
M240190001500,UR
M240190001600,UR
M240190001700,UR
M240190001800,UR
M240190001900,UR
M240190002000,UR
M240190002100,UR
M240190002200,UR
M240190002300,UR
M240190002400,UR
M240190002500,UR
M240190006400,UR
M240190006300,UR
M240190006200,UR
M240190006100,UR
M240190006000,UR
M240190006001,UR
M240190005900,UR
M240190005800,UR
M240190005700,UR
M240190005600,UR
M240190005500,UR
M240190005400,UR
M240180001400,UR
M240180001500,UR
M240180001600,UR
M240180001700,UR
M240180001800,UR
M240180001900,UR
M240180002000,UR
M240180002100,UR
M240180002200,UR
M240180002300,UR
M240180002400,UR
M240180002500,UR
M240180002600,UR
M240180002700,UR
M240180002800,UR
M240180002900,UR
M240180003000,UR
M240180005900,UR
M240180005800,UR
M240180005700,UR
M240180005600,UR
M240180005400,UR
M240180005500,UR
M240180005401,UR
M240180005300,UR
M240180005200,UR
M240200010900,UR
M240200011000,UR
M240200011100,UR
M240200011200,UR
M240200011300,UR
M240200011400,UR
M240200011500,UR
M240200011600,UR
M240200011700,UR
M240200011800,UR
M240200011900,UR
M240200012000,UR
M240200012100,UR
M240200012200,UR
M240200012300,UR
M240200013500,UR
M240200013400,UR
M240200013300,UR
M240200013200,UR
M240200013100,UR
M240200012900,UR
M240200012800,UR
M240200012700,UR
M240200013000,UR
M240200012600,UR
M240200012400,UR
M240200012500,UR
M240190002600,UR
M240190002700,UR
M240190002800,UR
M240190002900,UR
M240190003000,UR
M240190003100,UR
M240190003200,UR
M240190003300,UR
M240190003400,UR
M240190003500,UR
M240190003600,UR
M240190003700,UR
M240190003800,UR
M240190003900,UR
M240190005300,UR
