precinct,precinctLeader,giellis,heffernan,simpson,scott,calderon,giavanni,hancock,fiorino,tate,evans
237,Lisa Calderón,0.1422,0.0647,,,0.3534,,0.2759,,0.1552,0.0086
238,Michael B. Hancock,0.2884,0.0256,0.0014,,0.1875,,0.375,,0.1165,0.0057
239,Michael B. Hancock,0.2715,0.0253,,,0.1568,,0.4047,,0.1366,0.0051
240,Michael B. Hancock,0.2779,0.0401,,,0.2149,,0.3553,,0.106,0.0057
241,Michael B. Hancock,0.268,0.0233,,,0.2233,,0.3282,,0.1495,0.0078
242,Michael B. Hancock,0.2673,0.0223,,,0.2049,,0.3497,,0.1403,0.0156
243,Michael B. Hancock,0.2673,0.0231,,,0.1808,,0.3731,,0.1519,0.0038
244,Michael B. Hancock,0.2168,0.0256,,,0.2727,0.0023,0.3124,,0.1585,0.0117
245,Michael B. Hancock,0.2986,0.0112,,,0.0947,,0.4366,0.0016,0.1557,0.0016
246,Michael B. Hancock,0.2384,0.0172,,,0.1166,,0.4202,,0.2041,0.0034
247,Michael B. Hancock,0.32,0.03,,,0.1575,,0.325,,0.1575,0.01
248,Jamie Giellis,0.3885,0.0186,,,0.1227,,0.329,,0.1394,0.0019
249,Jamie Giellis,0.4028,0.0081,,,0.066,,0.3692,,0.1539,0
250,Michael B. Hancock,0.3134,0.0123,,,0.0981,0.0014,0.4292,,0.1417,0.0041
251,Lisa Calderón,0.2174,0.0435,,,0.314,,0.2536,,0.1667,0.0048
401,Michael B. Hancock,0.2023,0.0311,,,0.2291,,0.3904,,0.1344,0.0127
402,Michael B. Hancock,0.2496,0.0421,,,0.2451,,0.3383,,0.1068,0.018
403,Michael B. Hancock,0.2064,0.017,,,0.3163,,0.3504,,0.0966,0.0133
404,Michael B. Hancock,0.2362,0.0254,,,0.2018,,0.3812,,0.1495,0.006
405,Michael B. Hancock,0.2508,0.0225,,,0.2372,0.0015,0.3679,,0.1141,0.006
406,Michael B. Hancock,0.2234,0.0108,,,0.2364,,0.3991,,0.1193,0.0108
407,Michael B. Hancock,0.2556,0.0309,,,0.2065,,0.3764,,0.1264,0.0042
408,Michael B. Hancock,0.2972,0.0281,,,0.2249,,0.324,,0.1165,0.0094
409,Jamie Giellis,0.3003,0.0296,,,0.2219,,0.2973,,0.1464,0.0044
410,Michael B. Hancock,0.2139,0.0212,,,0.2852,,0.3565,,0.1195,0.0039
411,Michael B. Hancock,0.1687,0.0221,,,0.3133,,0.3855,,0.1044,0.006
412,Michael B. Hancock,0.2647,0.0216,,,0.2187,,0.3367,,0.1525,0.0058
413,Michael B. Hancock,0.2516,0.0177,,,0.1922,,0.378,,0.1555,0.0051
414,Jamie Giellis,0.3071,0.0333,,,0.2148,,0.298,,0.1407,0.0061
415,Michael B. Hancock,0.2607,0.0277,,,0.2229,,0.3463,,0.1348,0.0076
416,Michael B. Hancock,0.2599,0.0344,,,0.2306,,0.358,,0.105,0.012
417,Michael B. Hancock,0.2373,0.0196,,,0.2804,,0.3569,,0.0961,0.0098
418,Michael B. Hancock,0.2504,0.0211,,,0.2407,,0.3886,,0.0959,0.0033
419,Michael B. Hancock,0.2825,0.0131,,,0.2286,,0.364,,0.1078,0.0039
420,Michael B. Hancock,0.1891,0.0348,,,0.2023,,0.4859,,0.0829,0.005
421,Michael B. Hancock,0.2398,0.0212,,,0.2228,,0.3935,,0.1171,0.0056
422,Michael B. Hancock,0.2719,0.0181,,,0.1858,,0.361,,0.1541,0.0091
423,Michael B. Hancock,0.2898,0.0333,,,0.2043,,0.3682,,0.0974,0.0071
424,Michael B. Hancock,0.2467,0.0301,,,0.2203,,0.3974,,0.0998,0.0056
425,Michael B. Hancock,0.2679,0.0345,,,0.2573,,0.3475,,0.0822,0.0106
426,Michael B. Hancock,0.2895,0.0343,,,0.1848,,0.3962,,0.0914,0.0038
427,Michael B. Hancock,0.0328,0.0164,,,0.1311,,0.7541,,0.0492,0.0164
428,Michael B. Hancock,0.1963,0.0371,,,0.2812,,0.3846,,0.0902,0.0106
429,Michael B. Hancock,0.1132,0.0637,,,0.3042,,0.4127,,0.092,0.0142
430,Michael B. Hancock,0.1165,0.0534,,,0.2985,,0.4636,,0.0534,0.0146
431,Michael B. Hancock,0.1285,0.0382,,,0.2851,,0.4337,,0.1064,0.008
432,Michael B. Hancock,0.1569,0.0703,,,0.2646,0.0047,0.4145,,0.0703,0.0187
433,Michael B. Hancock,0.1634,0.0668,,,0.2178,,0.4703,,0.0644,0.0173
434,Michael B. Hancock,0.1253,0.0541,,,0.2482,,0.4816,,0.0688,0.0221
435,Michael B. Hancock,0.1269,0.0372,,,0.2415,,0.483,,0.0898,0.0217
