precinct,precinctLeader,giellis,heffernan,simpson,scott,calderon,giavanni,hancock,fiorino,tate,evans
841,Michael B. Hancock,0.222,0.0637,,,0.2799,,0.2915,,0.1313,0.0116
842,Michael B. Hancock,0.2215,0.0295,,,0.2447,,0.3333,,0.1709,0
843,Lisa Calderón,0.2285,0.0421,,,0.3146,,0.2645,,0.1383,0.012
844,Lisa Calderón,0.199,0.0502,,,0.3311,,0.2559,,0.1488,0.0151
845,Michael B. Hancock,0.2222,0.0377,,,0.2306,,0.2746,,0.2264,0.0084
846,Michael B. Hancock,0.2537,0.0331,,,0.2518,,0.2721,,0.182,0.0074
847,Michael B. Hancock,0.2561,0.0242,,,0.1972,,0.3599,,0.1592,0.0035
848,Michael B. Hancock,0.2179,0.0492,,,0.2197,0.0018,0.3111,,0.1986,0.0018
849,Michael B. Hancock,0.258,0.0412,,,0.2168,0.0015,0.2962,,0.1725,0.0137
850,Jamie Giellis,0.3132,0.0124,,,0.1891,,0.2884,,0.1922,0.0047
851,Jamie Giellis,0.274,0.0529,,,0.2468,,0.2532,,0.1699,0.0032
852,Jamie Giellis,0.2822,0.0131,,,0.1941,,0.2594,,0.2512,0
853,Jamie Giellis,0.351,0.016,,,0.1346,,0.2596,,0.2388,0
854,Jamie Giellis,0.2799,0.0282,,,0.2271,0.0035,0.2465,,0.213,0.0018
855,Lisa Calderón,0.189,0.0551,,,0.3268,,0.2835,,0.1339,0.0118
856,Michael B. Hancock,0.2059,0.0504,,,0.292,,0.3088,,0.1324,0.0105
901,Michael B. Hancock,0.2188,0.0536,,,0.2165,,0.3415,,0.1607,0.0089
902,Michael B. Hancock,0.2524,0.0583,,,0.233,,0.3107,,0.1359,0.0097
903,Jamie Giellis,0.3516,0.0211,,,0.1533,,0.2602,,0.2039,0.0098
904,Jamie Giellis,0.3071,0.0157,,,0.2114,0.0043,0.2371,,0.2186,0.0057
905,Jamie Giellis,0.3179,0.0331,,,0.2185,,0.2781,,0.1523,0
906,Michael B. Hancock,0.2914,0.0099,,,0.1556,,0.2947,,0.2483,0
907,Michael B. Hancock,0.3078,0.0261,,,0.1959,,0.3153,,0.1437,0.0112
908,Jamie Giellis,0.3178,0.0257,,,0.2006,,0.2616,,0.1846,0.0096
909,Jamie Giellis,0.378,0.0131,,,0.122,,0.3255,,0.1575,0.0039
910,Michael B. Hancock,0.2518,0.0249,,,0.1698,,0.3367,,0.2108,0.0059
911,Michael B. Hancock,0.2245,0.0352,,,0.1759,,0.397,,0.1491,0.0184
912,Jamie Giellis,0.3574,0.0272,,,0.1234,0.0032,0.3542,,0.1202,0.0144
913,Michael B. Hancock,0.2897,0.0159,,,0.1045,0.0026,0.4431,,0.1349,0.0093
914,TIED,0.3651,0.0147,,,0.1083,0.0055,0.3651,,0.1376,0.0037
915,Michael B. Hancock,0.2833,0.0167,,,0.1646,0.0042,0.3875,,0.1375,0.0062
916,Michael B. Hancock,0.2629,0.0209,0.0012,,0.156,,0.3575,,0.1818,0.0197
917,Jamie Giellis,0.3333,0.0205,,,0.1423,,0.3205,,0.1744,0.009
918,Jamie Giellis,0.3904,0.0094,,,0.139,,0.3128,,0.1457,0.0027
919,Jamie Giellis,0.3546,0.0217,,,0.1696,,0.2653,,0.1875,0.0013
920,Jamie Giellis,0.337,0.0064,,,0.1542,,0.3291,,0.1638,0.0095
921,Michael B. Hancock,0.2206,0.0288,,,0.1823,0.0024,0.4101,,0.1367,0.0192
922,Michael B. Hancock,0.2549,0.0425,,,0.1683,,0.3807,,0.1471,0.0065
923,Jamie Giellis,0.3548,0.0143,,,0.138,,0.3154,,0.1577,0.0197
924,Michael B. Hancock,0.1438,0.0654,,,0.2092,,0.4314,,0.1307,0.0196
925,Michael B. Hancock,0.3143,0.0095,,,0.1357,,0.3929,,0.1405,0.0071
926,Michael B. Hancock,0.2556,0.0083,0.0028,,0.1889,0.0028,0.3889,,0.1417,0.0111
927,Michael B. Hancock,0.305,0.0166,,,0.0961,0.0018,0.3937,,0.1867,0
928,Michael B. Hancock,0.2828,0.0094,,,0.1142,0.0019,0.4213,,0.1704,0
929,Michael B. Hancock,0.3128,0.0148,,,0.1084,,0.3941,,0.1626,0.0074
930,Michael B. Hancock,0.2298,0.0248,,,0.1553,,0.4534,,0.1149,0.0217
931,Jamie Giellis,0.4189,0.0185,,,0.0739,,0.3778,,0.1006,0.0103
932,Michael B. Hancock,0.2217,0.0277,,,0.1429,,0.4563,,0.145,0.0064
933,Michael B. Hancock,0.3056,0.009,,,0.1528,,0.382,,0.1438,0.0067
934,Michael B. Hancock,0.2425,0.024,,,0.1707,,0.4461,,0.0988,0.018
935,Michael B. Hancock,0.2214,0.0267,,,0.1947,,0.4046,,0.1412,0.0115
936,Michael B. Hancock,0.2247,0.0337,,,0.1713,,0.4045,,0.1461,0.0197
937,Michael B. Hancock,0.332,0.026,0.002,,0.064,,0.458,,0.112,0.006
938,Michael B. Hancock,0.2549,0.0174,,,0.1133,0.0022,0.4662,,0.1264,0.0196
939,Jamie Giellis,0.3311,0.0304,,,0.1959,,0.2905,,0.152,0
940,Michael B. Hancock,0.3421,0.0164,,,0.0789,0.0033,0.4309,,0.1184,0.0099
